,action_type,author.name,message,message_type,timestamp
78,add_chat_item,Mikey Nunn,GL GL,text_message,1703711010463514
79,add_chat_item,Jan Rasmussen,Lets gooo,text_message,1703711011346287
80,add_chat_item,Cole Mitchell,YEP,text_message,1703711018340230
81,add_chat_item,بركان بن شمقمق بن العتريس,Poor dualist ,text_message,1703711028627914
82,add_chat_item,Jan Rasmussen,Yeah. Make T-bone out of him,text_message,1703711066423039
83,add_chat_item,vPeak’s Chair,N,text_message,1703711089660851
84,add_chat_item,vPeak’s Chair,I,text_message,1703711093641157
85,add_chat_item,Cole Mitchell,W,text_message,1703711093798837
86,add_chat_item,Nikša Anić,YEP RUNE,text_message,1703711094245804
87,add_chat_item,بركان بن شمقمق بن العتريس,10 more to end this,text_message,1703711100666233
88,add_chat_item,SirHurricane,This seed elden gargs,text_message,1703711108816235
89,add_chat_item,Jan Rasmussen,You need 5 more. One for each fight left!,text_message,1703711135725601
90,add_chat_item,Cole Mitchell,gargs next,text_message,1703711139378060
91,add_chat_item,Dark Magpie Studios,wasnt golden vow at the dragon church?,text_message,1703711147984412
92,add_chat_item,Ross Kasal,"Out of greatswords, collosal swords, great hammers, and colossal weapons. How would you rank them for a 'pure' strength build?",text_message,1703711150172423
93,add_chat_item,Emm Mortem,Who else he got left that’s relevant other than Gargs? ,text_message,1703711174581218
94,add_chat_item,بركان بن شمقمق بن العتريس,What’s ur next challenge?,text_message,1703711181347538
95,add_chat_item,SirHurricane,Crucible duo I believe,text_message,1703711192637437
96,add_chat_item,Lazy Cake,How many attempts has this taken?,text_message,1703711194356879
97,add_chat_item,Dark Magpie Studios,check the dragon church maybe? or was that a different run.,text_message,1703711211164684
98,add_chat_item,Speeplonk,holy crap bushy you're still doing this???,text_message,1703711217328527
99,add_chat_item,Jan Rasmussen,@Cole Mitchell You been looking in the bin?,text_message,1703711219378850
100,add_chat_item,Speeplonk,you're so close though godspeed man,text_message,1703711229294621
101,add_chat_item,Kornephoros,do you have carian glinstone staff?,text_message,1703711233903661
102,add_chat_item,Astroghost 968,Hiya people,text_message,1703711240685953
103,add_chat_item,vPeak’s Chair,Who else up wearing they Elden cock rings ,text_message,1703711253336364
104,add_chat_item,Tixial,hello,text_message,1703711266321440
105,add_chat_item,SirHurricane,Thank you,text_message,1703711283198530
106,add_chat_item,caindaddy,thank you,text_message,1703711284378992
107,add_chat_item,Diegochi,thank you,text_message,1703711290425435
108,add_chat_item,Cole Mitchell,thankyou,text_message,1703711291722128
109,add_chat_item,Jan Rasmussen,Jebus Christensen the YT chat is delayed!,text_message,1703711307507496
110,add_chat_item,JrobertN27,you found the int tear last time right?,text_message,1703711333220859
111,add_chat_item,Mikey Nunn,be careful of lionell,text_message,1703711334448740
112,add_chat_item,Cole Mitchell,gargs would be so funny to die on and it would be the last boss he has to fight.,text_message,1703711349501302
113,add_chat_item,Jan Rasmussen,He died,text_message,1703711351142129
114,add_chat_item,ginemo Joker,hello guys,text_message,1703711385570376
115,add_chat_item,Don Pollo,bros gonna die last boss,text_message,1703711392673179
116,add_chat_item,Jan Rasmussen,Thats some chunky damage dude,text_message,1703711399083671
117,add_chat_item,Mikey Nunn,its an open world boss so dont be afraid to run away and mount,text_message,1703711471624076
118,add_chat_item,Jan Rasmussen,Watch your FP,text_message,1703711503825354
119,add_chat_item,Riccardo Loche,putrid is honestly the best adjective you could give to Fia's champions,text_message,1703711508934777
120,add_chat_item,zephyra eurus,sup dudes,text_message,1703711539404069
121,add_chat_item,Tyler Nelson,"Release shadow of the erdtree already FromSoft, we are watching Bushy torture himself for content atm…",text_message,1703711568690124
122,add_chat_item,zephyra eurus,"just joined, which bosses does he have left?",text_message,1703711569545288
123,add_chat_item,Jan Rasmussen,Gargs,text_message,1703711587849025
124,add_chat_item,Cole Mitchell,gargs,text_message,1703711595345860
125,add_chat_item,Dark Magpie Studios,moonlight shard maybe?,text_message,1703711688970193
126,add_chat_item,Mikey Nunn,mist and use the mount,text_message,1703711691711931
127,add_chat_item,Jan Rasmussen,Badabadabadabiiiing!,text_message,1703711749535577
128,add_chat_item,Yez zir,gg,text_message,1703711756334682
129,add_chat_item,Fallen Garden,I love night sorceries dude.,text_message,1703711756542398
130,add_chat_item,Marcus Burke,gg,text_message,1703711761411825
131,add_chat_item,Nikša Anić,GG,text_message,1703711765323145
132,add_chat_item,Tixial,gg,text_message,1703711768844912
133,add_chat_item,ginemo Joker,gg,text_message,1703711769556524
134,add_chat_item,EllieKatt,barely enough yikes,text_message,1703711770257200
135,add_chat_item,Cole Mitchell,"gg, and now on to gargs.",text_message,1703711777218240
136,add_chat_item,Sleepy,i hate this area,text_message,1703711792387815
137,add_chat_item,Jan Rasmussen,!YOINK!,text_message,1703711794910157
138,add_chat_item,Nedsims67,Good boss to have done,text_message,1703711801430706
139,add_chat_item,Cerebral Energy,have you got to malenia yet?,text_message,1703711815742779
140,add_chat_item,Dark Magpie Studios,malenia is dead,text_message,1703711830829915
141,add_chat_item,Lobo Joguinhos,Have you beaten the boss in Margit's room yet? Might be a tough one,text_message,1703711840279107
142,add_chat_item,Mikey Nunn,they still havent fixed this FPS monster,text_message,1703711868293462
143,add_chat_item,Jan Rasmussen,"While the boss is immune to most ailments, it is weak to Fire, Lightning, and Holy attacks",text_message,1703711936847940
144,add_chat_item,Lobo Joguinhos,"Removing the FPS drop from this mausoleum would be like removing gravity magic from radahn, or rot from malenia",text_message,1703711941025222
145,add_chat_item,terence terence,done gargoylz yet?,text_message,1703711945917612
146,add_chat_item,Jan Rasmussen,Gargs,text_message,1703711956874116
147,add_chat_item,Slack,do you play with any great rune reqs?,text_message,1703711959244529
148,add_chat_item,Fallen Garden,"I have to say, this challenge is really fun to watch in live / VOD format. I wonder how well it's gonna convert into a relatively short showcase vid.",text_message,1703711973251925
149,add_chat_item,JrobertN27,did you ever change your physic cause you aren't really using dmgs anymore?,text_message,1703711975601338
150,add_chat_item,Chris Cauley,"rock sling was better for me than comet on gargs, they don't dodge it nearly as much",text_message,1703711982705961
151,add_chat_item,Marcus Burke,and some pissed off jelly,text_message,1703711993428392
152,add_chat_item,Nikša Anić,YEP,text_message,1703712005640538
153,add_chat_item,Jan Rasmussen,He jumped through the damage,text_message,1703712015352189
154,add_chat_item,Alex H,last time i had seafood i got night sharts,text_message,1703712022778805
155,add_chat_item,janhart ,ez claps this one,text_message,1703712025234906
156,add_chat_item,Jan Rasmussen,@Alex H KEK,text_message,1703712041044774
157,add_chat_item,Its Wavyy,wsg Bushy you inspired me to play Elden Ring,text_message,1703712074293933
158,add_chat_item,Jan Rasmussen,Lets funking gooo!,text_message,1703712078624640
159,add_chat_item,Nikša Anić,S L I C E D,text_message,1703712079340510
160,add_chat_item,janhart ,DICED,text_message,1703712081748161
161,add_chat_item,Cerebral Energy,gg,text_message,1703712083026464
