action_type,author.badges.0.icon_name,author.badges.0.icons.0.id,author.badges.0.icons.0.url,author.badges.0.icons.1.height,author.badges.0.icons.1.id,author.badges.0.icons.1.url,author.badges.0.icons.1.width,author.badges.0.icons.2.height,author.badges.0.icons.2.id,author.badges.0.icons.2.url,author.badges.0.icons.2.width,author.badges.0.title,author.badges.1.icon_name,author.badges.1.title,author.id,author.images.0.id,author.images.0.url,author.images.1.height,author.images.1.id,author.images.1.url,author.images.1.width,author.images.2.height,author.images.2.id,author.images.2.url,author.images.2.width,author.name,emotes.0.id,emotes.0.images.0.id,emotes.0.images.0.url,emotes.0.images.1.height,emotes.0.images.1.id,emotes.0.images.1.url,emotes.0.images.1.width,emotes.0.images.2.height,emotes.0.images.2.id,emotes.0.images.2.url,emotes.0.images.2.width,emotes.0.is_custom_emoji,emotes.0.name,emotes.0.search_terms,emotes.0.search_terms.0,emotes.0.search_terms.1,emotes.0.search_terms.2,emotes.0.search_terms.3,emotes.0.search_terms.4,emotes.0.shortcuts,emotes.0.shortcuts.0,emotes.0.shortcuts.1,emotes.0.shortcuts.2,emotes.0.shortcuts.3,emotes.0.shortcuts.4,emotes.1.id,emotes.1.images.0.id,emotes.1.images.0.url,emotes.1.images.1.url,emotes.1.is_custom_emoji,emotes.1.name,emotes.1.search_terms,emotes.1.shortcuts,emotes.2.id,emotes.2.images.0.id,emotes.2.images.0.url,emotes.2.images.1.url,emotes.2.is_custom_emoji,emotes.2.name,emotes.2.search_terms,emotes.2.shortcuts,message,message_id,message_type,time_in_seconds,time_text,timestamp
add_chat_item,,,,,,,,,,,,,,,UC-YJ3AkW_C5NC-NJ_QCwTNg,source,https://yt4.ggpht.com/ytc/AIf8zZSQXzpQj51SIrCGy5uTbK_yR02dRef3CfQqd6p_790,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZSQXzpQj51SIrCGy5uTbK_yR02dRef3CfQqd6p_790=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZSQXzpQj51SIrCGy5uTbK_yR02dRef3CfQqd6p_790=s64-c-k-c0x00ffffff-no-rj,64,Ryker Reese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rick cosplay for rick,ChwKGkNQcnBsZUxSc0lNREZUcU41UWNkLVVnQnRR,text_message,4849.357,1:20:49,1703715216402833
add_chat_item,,,,,,,,,,,,,,,UCse_qzDapLh9UjCuTOZ714A,source,https://yt4.ggpht.com/ytc/AIf8zZSOc1-cO6I1LJD3oMHXCi02AkjYeyTwCWFWQGPeVg,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZSOc1-cO6I1LJD3oMHXCi02AkjYeyTwCWFWQGPeVg=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZSOc1-cO6I1LJD3oMHXCi02AkjYeyTwCWFWQGPeVg=s64-c-k-c0x00ffffff-no-rj,64,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run over on rick,ChwKGkNNeWI2ZUxSc0lNREZSQ3c1UWNkeEY4S1VB,text_message,4850.723,1:20:50,1703715217775998
add_chat_item,,,,,,,,,,,,,,,UCYInhPOeh1uK7aXlXqaN-1g,source,https://yt4.ggpht.com/ytc/AIf8zZS7cbvbwwR49UKfwVdt_nx8Nm_J3E4I00w2h4UQDw,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZS7cbvbwwR49UKfwVdt_nx8Nm_J3E4I00w2h4UQDw=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZS7cbvbwwR49UKfwVdt_nx8Nm_J3E4I00w2h4UQDw=s64-c-k-c0x00ffffff-no-rj,64,Nikša Anić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congrats mr strimer,ChwKGkNLajQ5T0xSc0lNREZVNHUxZ0FkQTBNS0l3,text_message,4850.921,1:20:50,1703715217967127
add_chat_item,,,,,,,,,,,,,,,UCF3GCnbWv4KTUbJtQ7aTsPw,source,https://yt4.ggpht.com/3GDfj5cHcWw3OtVLOWWep2MXO_9urbmaQL5wT5w0z7JOZWgSq8438lOvWqB-3gj2kYmANcJBq64,32,32x32,https://yt4.ggpht.com/3GDfj5cHcWw3OtVLOWWep2MXO_9urbmaQL5wT5w0z7JOZWgSq8438lOvWqB-3gj2kYmANcJBq64=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/3GDfj5cHcWw3OtVLOWWep2MXO_9urbmaQL5wT5w0z7JOZWgSq8438lOvWqB-3gj2kYmANcJBq64=s64-c-k-c0x00ffffff-no-rj,64, Chad Tanner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chadbush,ChwKGkNKbllqdVBSc0lNREZhZk93Z1FkSmxJRVZB,text_message,4851.402,1:20:51,1703715218383797
add_chat_item,,,,,,,,,,,,,,,UCo9uMP-4wmAKvUp9519a69g,source,https://yt4.ggpht.com/B7kP_UyIULMqsqDw4N4wBPg2T-04ve_lf1bsmRR8Ad7pEdNFtDBsMQFGp8IpemIcSxdf3ZcG,32,32x32,https://yt4.ggpht.com/B7kP_UyIULMqsqDw4N4wBPg2T-04ve_lf1bsmRR8Ad7pEdNFtDBsMQFGp8IpemIcSxdf3ZcG=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/B7kP_UyIULMqsqDw4N4wBPg2T-04ve_lf1bsmRR8Ad7pEdNFtDBsMQFGp8IpemIcSxdf3ZcG=s64-c-k-c0x00ffffff-no-rj,64,aaaaaaaaaaaaaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,now the true challenge begins,ChwKGkNLangzZVBSc0lNREZWUUwxZ0FkRXVNSWhn,text_message,4852.642,1:20:52,1703715219686666
add_chat_item,,,,,,,,,,,,,,,UCYjj5SP0Jp7gAdgBseMJ0rQ,source,https://yt4.ggpht.com/ytc/AIf8zZS2Uium3UjminajOUVwmhPN_sJANNWyxvh0pQ,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZS2Uium3UjminajOUVwmhPN_sJANNWyxvh0pQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZS2Uium3UjminajOUVwmhPN_sJANNWyxvh0pQ=s64-c-k-c0x00ffffff-no-rj,64,filip kozikowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE MORE,ChwKGkNMUFE1LVBSc0lNREZlSUgxZ0FkckpnQ293,text_message,4852.793,1:20:52,1703715219840766
add_chat_item,,,,,,,,,,,,,,,UCtUaTK3idGPge8E8MFPeQqA,source,https://yt4.ggpht.com/ytc/AIf8zZQotSv9U3-jqmL2Xvn5ovGU2kcjEPFvrkVYZj8mXQ,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZQotSv9U3-jqmL2Xvn5ovGU2kcjEPFvrkVYZj8mXQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZQotSv9U3-jqmL2Xvn5ovGU2kcjEPFvrkVYZj8mXQ=s64-c-k-c0x00ffffff-no-rj,64,Landshark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Let's gooooooo,ChwKGkNQTEZqZVRSc0lNREZmUUwxZ0FkS3hNTmFR,text_message,4853.416,1:20:53,1703715220461242
add_chat_item,,,,,,,,,,,,,,,UCRJQVIMEi5GfH93AUqw1SfA,source,https://yt4.ggpht.com/ytc/AIf8zZRHWO62ch0LqoRmpZpqC7UJ-JqfTZ_fYedwnY_5CA,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZRHWO62ch0LqoRmpZpqC7UJ-JqfTZ_fYedwnY_5CA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZRHWO62ch0LqoRmpZpqC7UJ-JqfTZ_fYedwnY_5CA=s64-c-k-c0x00ffffff-no-rj,64,Ash Lurker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final boss time,ChwKGkNMdVpqLVRSc0lNREZjUUoxZ0FkbGRNSXh3,text_message,4853.443,1:20:53,1703715220491928
add_chat_item,,,,,,,,,,,,,,,UC7Au3IRkkEO_gRadt00VNaQ,source,https://yt4.ggpht.com/ytc/AIf8zZRadsTIKM1em-cJQo7WzMkdOY1Ni-uUlxNkXWMVwKWk39o88BZpo3QfIUuv4G00,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZRadsTIKM1em-cJQo7WzMkdOY1Ni-uUlxNkXWMVwKWk39o88BZpo3QfIUuv4G00=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZRadsTIKM1em-cJQo7WzMkdOY1Ni-uUlxNkXWMVwKWk39o88BZpo3QfIUuv4G00=s64-c-k-c0x00ffffff-no-rj,64,Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Die to Rick you won't,ChwKGkNNZWxqLVRSc0lNREZVd0NyUVlkMXR3RGNB,text_message,4853.445,1:20:53,1703715220491673
add_chat_item,,,,,,,,,,,,,,,UCpIRYqHgWUx1BwVpCUwdGxQ,source,https://yt4.ggpht.com/ytc/AIf8zZQq-ONxLk-5cRESHmilrgaAsTSS4g65-HIVyqub,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZQq-ONxLk-5cRESHmilrgaAsTSS4g65-HIVyqub=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZQq-ONxLk-5cRESHmilrgaAsTSS4g65-HIVyqub=s64-c-k-c0x00ffffff-no-rj,64,Arthur Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I WAS HERE,ChwKGkNJN25tZVRSc0lNREZSREN3Z1FkNnBjRzdB,text_message,4853.576,1:20:53,1703715220661986
